stop_name,type,line_name,stop_id,location,identifier,neighbourhood,district,east_west,postal_code
Carl-Schurz-Strasse Ecke Am Juliusturm,tram,55,196551,"52.53954502,13.20555083",,Spandau,Spandau,west,13597
Hohenzollernring Ecke Neuendorferstrasse,tram,55,196552,"52.55571250,13.20754149",,Hakenfelde,Spandau,west,13587
Hakenfelde,tram,55,196553,"52.57886010,13.21005780",,Hakenfelde,Spandau,west,13587
"Zoo, Kantstrasse",tram,75,196554,"52.50528855,13.33160349",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10623
Leibnizstrasse Ecke Kantstrasse,tram,75,196555,"52.50628812,13.31395372",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10625
Wilmersdorferstrasse Ecke Kantstrasse,tram,75,196556,"52.50669450,13.30667544",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10627
Amtsgericht,tram,75,196557,"52.50682618,13.29739145",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10627
Messedamm,tram,75,196558,"52.50641939,13.28039244",,Westend,Charlottenburg-Wilmersdorf,west,14055
Theodor-Heuss-Platz,tram,75,196559,"52.50948066,13.27259770",,Westend,Charlottenburg-Wilmersdorf,west,14052
Preußenallee Ecke Heerstrasse,tram,75,196560,"52.50859211,13.25931279",,Westend,Charlottenburg-Wilmersdorf,west,14055
Reichssportfeldstrasse Ecke Heerstrasse,tram,75,196561,"52.50751473,13.24208670",,Westend,Charlottenburg-Wilmersdorf,west,14055
Stößenseebrücke,tram,75,196562,"52.50889437,13.21747597",,Westend,Charlottenburg-Wilmersdorf,west,14055
Pichelsdorferstrasse Ecke Heerstrasse,tram,75,196563,"52.51311471,13.19691856",,Wilhelmstadt,Spandau,west,13595
Seeburgerstrasse Ecke Klosterstrasse,tram,75,196564,"52.52914199,13.19558478",,Wilhelmstadt,Spandau,west,13595
Rathaus Spandau,tram,75,196565,"52.53488082,13.19905885",,Spandau,Spandau,west,13597
"Spandau, Markt",tram,75,196566,"52.53784350,13.20413543",,Spandau,Spandau,west,13597
Hohenzollernring Ecke Schönwalderstrasse,tram,76,196567,"52.55536761,13.19859324",,Hakenfelde,Spandau,west,13585
Johannesstift,tram,76,196568,"52.56762417,13.19178261",,Hakenfelde,Spandau,west,13587
Lindenstrasse Ecke Kochstrasse,tram,96,196569,"52.50708787,13.39827979",,Kreuzberg,Friedrichshain-Kreuzberg,west,10969
Mehringplatz,tram,96,196570,"52.49792491,13.39108107",,Kreuzberg,Friedrichshain-Kreuzberg,west,10969
Yorckstrasse Ecke Mehringdamm,tram,96,196571,"52.49288890,13.38767014",,Kreuzberg,Friedrichshain-Kreuzberg,west,10961
U-Bhf. Flughafen,tram,96,196572,"52.48477998,13.38596223",,Tempelhof,Tempelhof-Schöneberg,west,12101
Adolf-Scheidt-Platz,tram,96,196573,"52.47819486,13.37836902",,Tempelhof,Tempelhof-Schöneberg,west,12101
Berlinickeplatz,tram,96,196574,"52.46632968,13.37814469",,Tempelhof,Tempelhof-Schöneberg,west,12103
Attilaplatz,tram,96,196575,"52.45549834,13.37561964",,Tempelhof,Tempelhof-Schöneberg,west,12105
Ringstrasse Ecke Attilastrasse,tram,96,196576,"52.44731185,13.36209225",,Tempelhof,Tempelhof-Schöneberg,west,12105
"Lankwitz, Kirche",tram,96,196577,"52.43629411,13.34577794",,Lankwitz,Steglitz-Zehlendorf,west,12247
Seydlitzstrasse Ecke Kaiser-Wilhelm-Strasse,tram,96,196578,"52.43194429,13.33814378",,Lankwitz,Steglitz-Zehlendorf,west,12247
Kranoldplatz,tram,96,196579,"52.42782085,13.32657579",,Lichterfelde,Steglitz-Zehlendorf,west,12209
Ostpreußendamm Ecke Morgensternstrasse,tram,96,196580,"52.42589579,13.31710731",,Lichterfelde,Steglitz-Zehlendorf,west,12207
Giesensdorferstrasse Ecke Ostpreußendamm,tram,96,196581,"52.42400572,13.31441951",,Lichterfelde,Steglitz-Zehlendorf,west,12207
"Lichterfelde, Goerzallee",tram,96,196582,"52.41785382,13.28703404",,Lichterfelde,Steglitz-Zehlendorf,west,14167
Waldstrasse Ecke Turmstrasse,autobus,A1,196583,"52.52720084,13.33052493",,Moabit,Mitte,west,10551
Gotzkowskybrücke,autobus,A1,196584,"52.52381238,13.32972912",,Moabit,Mitte,west,10555
