stop_name,type,line_name,stop_id,location,identifier
Ringstrasse Ecke Attilastrasse,strassenbahn,96,196576,"52.44731185015507, 13.362092248181296",
"Lankwitz, Kirche",strassenbahn,96,196577,"52.43629411008752, 13.34577793920493",
Seydlitzstrasse Ecke Kaiser-Wilhelm-Strasse,strassenbahn,96,196578,"52.43195370707602, 13.338113726263753",
Kranoldplatz,strassenbahn,96,196579,"52.42782085368502, 13.326575786308617",
Ostpreußendamm Ecke Morgensternstrasse,strassenbahn,96,196580,,
Giesensdorferstrasse Ecke Ostpreußendamm,strassenbahn,96,196581,,
"Lichterfelde, Goerzallee",strassenbahn,96,196582,,
Waldstrasse Ecke Turmstrasse,autobus,A1,196583,"52.52720083563926, 13.330524926971268",
Gotzkowskybrücke,autobus,A1,196584,"52.52381238362036, 13.329729120795239",
Dovebrücke,autobus,A1,196585,,
Otto-Suhr-Allee Ecke Cauerstrasse,autobus,A1,196586,,
Kurfürstendamm Ecke Leibnizstrasse,autobus,A1,196587,,
U-Bhf. Fehrbelliner Platz,autobus,A1,196588,"52.490390927187676, 13.31417745809863",
Berlinerstrasse Ecke Brandenburgischestrasse,autobus,A1,196589,,
Hildegardstrasse Ecke Blissestrasse,autobus,A1,196590,,
Detmolderstrasse Ecke Blissestrasse,autobus,A1,196591,,
Breitenbachplatz,autobus,A1,196592,"52.467219717443385, 13.309473490660878",
Botanischer Garten,autobus,A1,196593,"52.458598799471524, 13.303436055459807",
Pacelliallee/Thielallee,autobus,A1,196594,,
Clayallee Ecke Königin-Luise-Strasse,autobus,A1,196595,"52.46044681153186, 13.274898269312029",
U-Bhf. Oskar-Helene-Heim,autobus,A1,196596,"52.450279005868815, 13.270361987159156",
Potsdamerstrasse Ecke Clayallee,autobus,A1,196597,,
Rathaus Zehlendorf,autobus,A1,196598,"52.433207520111885, 13.259531923613192",
Machnowerstrasse Ecke Teltowerdamm,autobus,A1,196599,,
Beeskowdamm Ecke Teltowerstrasse,autobus,A1,1965100,,
Wismarerstrasse Ecke Goerzallee,autobus,A1,1965101,,
Lindenstrasse Ecke Ostpreußendamm,autobus,A1,1965102,"52.41788577186651, 13.305240762668786",
"Bhf. Zoo, Hardenbergplatz",autobus,A2,1965103,"52.506961767508, 13.333080958799588",
Spichernstrasse Ecke Bundesallee,autobus,A2,1965104,,
Berlinerstrasse Ecke Bundesallee,autobus,A2,1965105,,
Bundesplatz,autobus,A2,1965106,"52.478678991134835, 13.32860278411238",
Friedrich-Wilhelm-Platz,autobus,A2,1965107,"52.47128806242274, 13.328362126543809",
Schloßstrasse Ecke Bundesallee,autobus,A2,1965108,"52.4649407720467, 13.328513608873887",
Feuerbachstrasse Ecke Bismarckstrasse,autobus,A2,1965109,"52.464513435475055, 13.338927866545799",
Bergstrasse Ecke Bismarckstrasse,autobus,A2,1965110,"52.45863817204511, 13.33931462421719",nan+ nan
Steglitzerdamm Ecke Halskestrasse,autobus,A2,1965111,,
Leonorenstrasse Ecke Siemensstrasse,autobus,A2,1965112,"52.44438057977062, 13.338875271971135",
"Lankwitz, Kirche",autobus,A2,1965113,"52.43629186979271, 13.345745387354132",
Havensteinstrasse Ecke Gallwitzallee,autobus,A2,1965114,,
Lerbacher Weg,autobus,A2,1965115,,
Trippsteinstrase Ecke Frankenhauserstrasse,autobus,A2,1965116,,
Winfriedstrasse Ecke Clayallee,autobus,A3,1965117,,
Sundgauerstrasse Ecke Clayallee,autobus,A3,1965118,,
U-Bhf. Onkel-Toms-Hütte,autobus,A3,1965119,"52.45007713385221, 13.251272593463492",
U-Bhf. Krumme Lanke,autobus,A3,1965120,"52.44361298127498, 13.241006428124264",
Lindenthalerallee Ecke Argentischestrasse,autobus,A3,1965121,,
Spanischeallee Ecke Potsdamerschaussee,autobus,A3,1965122,,
Schopenhauerstrasse Ecke Spanischeallee,autobus,A3,1965123,,
Borussenstrasse Ecke Spanischeallee,autobus,A3,1965124,,
Am Beelitzhof Ecke Kronprinzessinnenweg,autobus,A3,1965125,,
