stop_id,stop_name,type,location,in_lines,identifier,line_name,district,neighborhood,east_west_admin
196548,Quellweg Ecke Nonnendammallee,strassenbahn,"52.53662795,13.26837045",,,55,Spandau,Siemensstadt,west
196549,Paulsternstrasse Ecke Gartenfelderstrasse,strassenbahn,"52.54412196,13.24701046",,,55,Spandau,Haselhorst,west
196550,Zitadellenweg Ecke Am Juliusturm,strassenbahn,"52.53777974,13.21728515",,,55,Spandau,Haselhorst,west
196551,Carl-Schurz-Strasse Ecke Am Juliusturm,strassenbahn,"52.53954502,13.20555083",,,55,Spandau,Spandau,west
196552,Hohenzollernring Ecke Neuendorferstrasse,strassenbahn,"52.55571250,13.20754149",,,55,Spandau,Hakenfelde,west
196553,Hakenfelde,strassenbahn,"52.57886010,13.21005780",,,55,Spandau,Hakenfelde,west
196554,"Zoo, Kantstrasse",strassenbahn,"52.50528855,13.33160349",,,75,Charlottenburg-Wilmersdorf,Charlottenburg,west
196555,"Spandau, Hakenfelde",strassenbahn,"52.57049943,13.21252012",,,55,,,
196555,Leibnizstrasse Ecke Kantstrasse,strassenbahn,"52.50628812,13.31395372",,,75,Spandau,Hakenfelde,west
196556,Wilmersdorferstrasse Ecke Kantstrasse,strassenbahn,"52.50669450,13.30667544",,,75,Charlottenburg-Wilmersdorf,Charlottenburg,west
196557,Amtsgericht,strassenbahn,"52.50682618,13.29739145",,,75,Charlottenburg-Wilmersdorf,Charlottenburg,west
196558,Messedamm,strassenbahn,"52.50641939,13.28039244",,,75,Charlottenburg-Wilmersdorf,Westend,west
196559,Theodor-Heuss-Platz,strassenbahn,"52.50948066,13.27259770",,,75,Charlottenburg-Wilmersdorf,Westend,west
196560,Preußenallee Ecke Heerstrasse,strassenbahn,"52.50859211,13.25931279",,,75,Charlottenburg-Wilmersdorf,Westend,west
196561,Reichssportfeldstrasse Ecke Heerstrasse,strassenbahn,"52.50751473,13.24208670",,,75,Charlottenburg-Wilmersdorf,Westend,west
196562,Stößenseebrücke,strassenbahn,"52.50889437,13.21747597",,,75,Charlottenburg-Wilmersdorf,Westend,west
196563,Pichelsdorferstrasse Ecke Heerstrasse,strassenbahn,"52.51311471,13.19691856",,,75,Spandau,Wilhelmstadt,west
196564,Seeburgerstrasse Ecke Klosterstrasse,strassenbahn,"52.52914199,13.19558478",,,75,Spandau,Wilhelmstadt,west
196565,Rathaus Spandau,strassenbahn,"52.53488082,13.19905885",,,75,Spandau,Spandau,west
196566,"Spandau, Markt",strassenbahn,"52.53784350,13.20413543",,,75,Spandau,Spandau,west
196567,Hohenzollernring Ecke Schönwalderstrasse,strassenbahn,"52.55530890,13.19860397",,,76,Spandau,Hakenfelde,west
196568,Johannesstift,strassenbahn,"52.56762417,13.19178261",,,76,Spandau,Hakenfelde,west
196569,Lindenstrasse Ecke Kochstrasse,strassenbahn,"52.50708787,13.39827979",,,96,Friedrichshain-Kreuzberg,Kreuzberg,west
196570,Mehringplatz,strassenbahn,"52.49792491,13.39108107",,,96,Friedrichshain-Kreuzberg,Kreuzberg,west
196571,Yorckstrasse Ecke Mehringdamm,strassenbahn,"52.49288890,13.38767014",,,96,Friedrichshain-Kreuzberg,Kreuzberg,west
196572,U-Bhf. Flughafen,strassenbahn,"52.48477998,13.38596223",,,96,Tempelhof-Schöneberg,Tempelhof,west
196573,Adolf-Scheidt-Platz,strassenbahn,"52.47819486,13.37836902",,,96,Tempelhof-Schöneberg,Tempelhof,west
196574,Berlinickeplatz,strassenbahn,"52.46632968,13.37814469",,,96,Tempelhof-Schöneberg,Tempelhof,west
196575,Attilaplatz,strassenbahn,"52.45549834,13.37561964",,,96,Tempelhof-Schöneberg,Tempelhof,west
196576,Ringstrasse Ecke Attilastrasse,strassenbahn,"52.44731185,13.36209225",,,96,Tempelhof-Schöneberg,Tempelhof,west
196577,"Lankwitz, Kirche",strassenbahn,"52.43629411,13.34577794",,,96,Steglitz-Zehlendorf,Lankwitz,west
196578,Seydlitzstrasse Ecke Kaiser-Wilhelm-Strasse,strassenbahn,"52.43194429,13.33814378",,,96,Steglitz-Zehlendorf,Lankwitz,west
196579,Kranoldplatz,strassenbahn,"52.42782085,13.32657579",,,96,Steglitz-Zehlendorf,Lichterfelde,west
196580,Ostpreußendamm Ecke Morgensternstrasse,strassenbahn,"52.42589579,13.31710731",,,96,Steglitz-Zehlendorf,Lichterfelde,west
196581,Giesensdorferstrasse Ecke Ostpreußendamm,strassenbahn,"52.42400572,13.31441951",,,96,Steglitz-Zehlendorf,Lichterfelde,west
196582,"Lichterfelde, Goerzallee",strassenbahn,"52.41785382,13.28703404",,,96,Steglitz-Zehlendorf,Lichterfelde,west
196583,Waldstrasse Ecke Turmstrasse,autobus,"52.52720084,13.33052493",,,A1,Mitte,Moabit,west
196584,Gotzkowskybrücke,autobus,"52.52381238,13.32972912",,,A1,Mitte,Moabit,west
196585,Dovebrücke,autobus,"52.51943492,13.31929294",,,A1,Charlottenburg-Wilmersdorf,Charlottenburg,west
196586,Otto-Suhr-Allee Ecke Cauerstrasse,autobus,"52.51467908,13.31513688",,,A1,Charlottenburg-Wilmersdorf,Charlottenburg,west
196587,Kurfürstendamm Ecke Leibnizstrasse,autobus,"52.50064083,13.31300996",,,A1,Charlottenburg-Wilmersdorf,Charlottenburg,west
196588,U-Bhf. Fehrbelliner Platz,autobus,"52.49039093,13.31417746",,,A1,Charlottenburg-Wilmersdorf,Wilmersdorf,west
