stop_id,stop_name,type,location,in_lines,identifier,stop_description
1964478,"Heinersdorf, Kirche",strassenbahn,"52.5686908,13.4389053",71,Q65096107,Heinersdorf Kirche
1964479,"Heinersdorf, Romain-Rolland-Str.",strassenbahn,"52.5725511,13.4371063",71,Q65096052,Heinersdorf
1964480,Heinrich-Duncker-Strasse Ecke Ehrlichstrasse,strassenbahn,"52.4789566,13.5234316",82,Q65951921,
1964481,Heinrich-Heine-Strasse,strassenbahn,"52.51099529411967, 13.416420239383946",11,,
1964482,Heinrich-Mann-Platz,bus,"52.57297246262195, 13.392146133350426","A45,A55,A58",,Heinrich-Mann-Platz
1964483,Hennigsdorf (b Bln),s-bahn,"52.638,13.2057",KBS 104d,Q800909,Hennigsdorf station
1964484,Hennigsdorf Nord,s-bahn,"52.66,13.2033",KBS 104d,Q685717,
1964485,Henriettenplatz,bus,"52.49701780222877, 13.290339505649852","A69,A10,A29,A4,A19",,
1964486,Hermannplatz,bus,"52.48778872855567, 13.425393480017616","A67,A75",,Hermannplatz Ecke Sonnenallee
1964487,Hermannplatz,strassenbahn,"52.487085572732276, 13.424752445258537",95,,Hermannplatz
1964488,Hermannplatz,u-bahn,"52.48629,13.42455","D,C I",Q658929,Hermannplatz
1964489,Hermannstr.,s-bahn,"52.4675,13.431111111111","KBS 100,KBS 100k",Q111263802,S-Bahnhof Hermannstraße
1964490,Hermannstrasse,strassenbahn,"52.46476232618638, 13.432818109719008",15,,Hermannstrasse
1964491,Hermannstrasse Ecke Silbersteinstrasse,bus,"52.46644333425963, 13.43195484694859",A65,,
1964492,Hermsdorf,s-bahn,"52.6178,13.3069",KBS 100e,Q263189,Berlin-Hermsdorf station
1964493,Hermsdorfer Damm Ecke Berlinerstrasse,bus,"52.62242631668916, 13.312891819525612","A12,A12S",,Hermsdorfer Damm Ecke Karolinenstrasse
1964494,Hermsdorfer Damm Ecke Karolinenstrasse,bus,"52.596782782505926, 13.276626902280602",A15,,Hermsdorfer Damm Ecke Berliner Strasse
1964495,Hertzbergplatz,bus,"52.477487105395774, 13.448598156816837",A67,,Hertzbergplatz
1964496,Hertzbergplatz,strassenbahn,"52.4773735457893, 13.448843811492495",95,,Hertzbergplatz
1964497,Herzbergstrasse,strassenbahn,"52.52637,13.499036","69,69E",Q65684891,
1964498,"Hessenwinkel, Lindenstrasse",bus,"52.42653518647879, 13.728458969026482",A22,,"Hessenwinkel, Lindenstrasse"
1964499,Hildburghauser Strasse,bus,"52.4177480347187, 13.332272717282247",A11,,
1964500,Hildegardstrasse,bus,"52.48185906011362, 13.320391438761659",A86,,
1964501,Hindenburgdamm,bus,"52.45352507850236, 13.315671490206539","A86,A48",,Hindenburgdamm Ecke Unter den Eichen
1964502,Hindenburgdamm Ecke Gardeschützweg,bus,"52.44955388842635, 13.315299610724242",A85,,
1964503,Hirschgarten,s-bahn,"52.4579,13.6032",KBS 102,Q4892435,Berlin Hirschgarten station
1964504,Hirschgarten,strassenbahn,"52.4518533,13.6006245","84,87",Q66360740,Hirschgarten
1964505,Hirtestrasse,strassenbahn,"52.46228517510202, 13.582989445330378",86,,
1964506,Hochgerichtstrasse,bus,"52.53838037062423, 13.183009198076522",A99,,Hochgerichtstrasse Ecke Seegefelder Strasse
1964507,Hochgerichtstrasse Ecke Seegefelder Strasse,bus,"52.53843535472048, 13.182393702550534",A63,,
1964508,Hochmeisterplatz,bus,"52.49468637986547, 13.301254684721862",A4,,Hochmeisterplatz
1964509,Hochschule für Ökonomie,strassenbahn,"52.4927681,13.5266059","69,69E",Q65952866,
1964510,Hohefeldstrasse,bus,"52.62626276180117, 13.299374608466762",A12S,,
1964511,Hohen Neuendorf (b Bln),s-bahn,"52.6684,13.287",KBS 104,Q4500489,
1964512,"Hohenschönhausen, Falkenberger Strasse",bus,"52.550229554941964, 13.509585042301534",A39,,
