stop_name,location,type,line_name,stop_id,identifier
Winfriedstrasse Ecke Clayallee,"52.43922363171393, 13.262878112617274",autobus,A3,1965119,
Sundgauerstrasse Ecke Clayallee,"52.44557392104077, 13.267671215115634",autobus,A3,1965120,
Lindenthalerallee Ecke Argentischestrasse,"52.43767235818354, 13.23234536910052",autobus,A3,1965123,
Spanischeallee Ecke Potsdamerschaussee,"52.42962237394746, 13.224007339435682",autobus,A3,1965124,
Schopenhauerstrasse Ecke Spanischeallee,"52.43394923144528, 13.212047954423117",autobus,A3,1965125,
Borussenstrasse Ecke Spanischeallee,"52.433823313167366, 13.193245668437632",autobus,A3,1965126,
Am Beelitzhof Ecke Kronprinzessinnenweg,"52.43221622410449, 13.1866838",autobus,A3,1965127,
Am Großen Wannssee Ecke Königstrasse,"52.42050255652165, 13.167179797272718",autobus,A3,1965129,
"Neu-Westend, Brixplatz","52.51950863388781, 13.256386511985005",autobus,A4,1965133,
Bundesallee Ecke Badenschestrasse,"52.48612222451574, 13.331052024037234",autobus,A4,1965139,
Dudenstrasse Ecke Katzbachstrasse,"52.48503401762348, 13.376593425977518",autobus,A4,1965144,
Flughafenstrasse Ecke Hermannstrasse,"52.48071390976254, 13.42508430002253",autobus,A4,1965147,
Kienitzerstrasse Ecke Karl-Marx-Strasse,"52.477617629490986, 13.438493956374922",autobus,A4,1965148,
Harzerstrasse Ecke Elsenstrasse,"52.48508523923768, 13.448908445714688",autobus,A4,1965150,
Breite Straße Ecke Charlottenstraße,"52.536146014703974, 13.204426672369982",autobus,A5,1965155,
Zeppelinstrasse Ecke Seegefelderstrasse,"52.53843134412466, 13.182410597279869",autobus,A5,1965157,
Falkenseerchaussee Ecke Zeppelinstrasse,"52.54753513256668, 13.184663374619586",autobus,A5,1965158,
"Spandau, Landesnervenklinik","52.56341330294682, 13.154307292538126",autobus,A5,1965160,
S-Bhf. Wannsee,"52.421460757032285, 13.178118969207269",autobus,A6,1965161,
Königstrasse Ecke Kronprinzessinnenweg,"52.419933249467555, 13.17531238942068",autobus,A6,1965162,
Pfaueninselschaussee Ecke Königstrasse,"52.418847307144524, 13.15300812940978",autobus,A6,1965163,
Friedenstrasse Ecke Königstrasse,"52.41722224791411, 13.138975051207188",autobus,A6,1965164,
Nikolskoerweg Ecke Königstrasse,"52.414027669925666, 13.109236625302735",autobus,A6,1965166,
Paulsternstrasse Ecke Nonnendamm,"52.5381627832167, 13.247730616938957",autobus,A10,1965169,
Verwaltungs-Gebaüde,"52.537063326963775, 13.262285169635492",autobus,A10,1965170,
Spandauerdamm Ecke Fürstenbrunnerweg,"52.5183904149911, 13.280212900915433",autobus,A10,1965171,
Masurenallee Ecke Messedamm,"52.50646271720167, 13.280400398407775",autobus,A10,1965173,
Hundekehlestrasse Ecke Warnemünderstrasse,"52.475395078993735, 13.290375611293099",autobus,A10,1965178,
Berlinerstrasse Ecke Thielallee,"52.44181287151174, 13.282745443304167",autobus,A10,1965181,
Berlinerstrasse Ecke Sundgauerstrasse,"52.43833477667376, 13.271411295422777",autobus,A10,1965182,
Teltowerdamm Ecke Machnowerstrasse,"52.43081550611763, 13.259296412943671",autobus,A10,1965184,
Lupsteinerweg Ecke Sachtlebenstrasse,"52.40951066583306, 13.25160884324579",autobus,A10,1965186,
Saargemünderstrasse Ecke Clayallee,"52.45093246370408, 13.270718763527334",autobus,A11,1965187,
